오늘 비가 올까?	今天会下雨吗？
색상은 검정이랑 흰색 중 뭐가 좋아?	颜色是黑色和白色，你觉得哪个更好？
사진 한 장만 찍어 줄래?	可以帮我拍一张照片吗？
카메라가 초점이 안 맞아요.	相机对不上焦。
화면 밝기를 좀 낮춰 줘.	请把屏幕亮度调低一点。
소프트웨어 버전이 3.2.1로 표시돼요.	软件版本显示为3.2.1。
지금 바로 처리해 주실 수 있나요?	现在可以马上帮我处理吗？
(중요) 이 부분은 꼭 확인해 주세요.	（重要）这一部分请务必确认。
오늘 일정은 (회의 2개)만 있어.	今天的安排只有（2个会议）。
점심은 12시, 저녁은 7시에 먹자.	午饭12点吃，晚饭7点吃吧。
1+1 행사 맞아요?	是买一送一活动吧？
50% 할인이라서 샀어요.	因为打五折，所以我买了。
배송 상태가 "준비중"에서 안 바뀌어요.	配送状态一直停留在“准备中”没变。
재고가 없으면 연락 주세요.	如果没库存请联系我。
다른 제품으로 교환 가능할까요?	可以换成别的产品吗？
고장 난 제품은 AS가 되나요?	坏掉的产品可以做售后维修吗？
보증기간이 1년이에요.	保修期是一年。
내일은 꼭 출근해야 해.	明天我一定得去上班。
오늘은 재택근무라서 집에 있어.	今天是居家办公，所以我在家。
회의가 30분 연장됐어요.	会议延长了30分钟。
지금은 바빠서 나중에 연락할게.	我现在很忙，晚点联系你。
사진을 첨부했어요(확인 부탁).	我附上照片了（请确认）。
링크(URL)를 다시 보내 줄게.	我再把链接（URL）发给你。
날씨가 너무 더워요.	天气太热了。
바람이 많이 부네요.	风很大。
창밖이 정말 예쁘다.	窗外真的很漂亮。
오늘 하루 수고했어.	今天辛苦了。
잘 자, 내일 보자.	晚安，明天见。
이건 진짜야?	这是真的吗？
혹시 그 사람 알아?	你认识那个人吗？
왜 그렇게 생각해?	你为什么这么想？
나는 그렇게까지는 모르겠어.	我还没了解到那种程度。
결론적으로, 지금은 기다리는 게 낫겠어.	总的来说，现在还是等一等比较好。
