비상정지(E-Stop) 동작 여부 확인.	确认急停（E-Stop）是否动作。
검사 과정은 자동화 시스템 기반으로 진행.	检测过程基于自动化系统进行。
검사 시간 2분 이내 목표.	检测时间目标控制在2分钟以内。
실제 차량 1대 검사 시간 2분 이내.	实际每辆车的检测时间应在2分钟以内。
데이터 업로드(Upload) 성공 여부.	确认数据上传（Upload）是否成功。
클라우드(Cloud) 크레딧 적용 여부.	确认云端（Cloud）额度是否已应用。
AI 모델 버전(v3.0.1) 표시 확인.	确认AI模型版本（v3.0.1）显示。
모델 업데이트 후 재시작(Reboot) 필요.	模型更新后需要重新启动（Reboot）。
소프트웨어 라이선스(License) 유효 여부.	确认软件许可证（License）是否有效。
사용자 권한(Admin/User) 설정 확인.	确认用户权限（Admin/User）设置。
비밀번호 정책(8자 이상) 적용 여부.	确认密码策略（8位以上）是否应用。
로그아웃(Logout) 자동 시간(10min) 설정.	确认登出（Logout）自动时间（10min）设置。
백업(Backup) 파일 생성 여부.	确认备份（Backup）文件是否生成。
복구(Restore) 테스트 완료 여부.	确认恢复（Restore）测试是否完成。
시스템 메모리 사용률 80% 이하 유지.	保持系统内存使用率在80%以下。
CPU 사용률 90% 이하 유지.	保持CPU使用率在90%以下。
디스크 공간 20GB 이상 확보.	确保磁盘空间在20GB以上。
장치 드라이버(Driver) 버전 확인.	确认设备驱动（Driver）版本。
펌웨어(FW) 버전 확인.	确认固件（FW）版本。
센서 교정(Calibration) 완료 여부.	确认传感器校准（Calibration）是否完成。
측정 오차 ±0.5mm 이하.	测量误差应小于等于±0.5mm。
기준 게이지(Gauge) 사용 여부.	确认是否使用标准量规（Gauge）。
검사 리포트(Report) 출력 여부.	确认检测报告（Report）是否输出。
프린터(Printer) 연결 상태 확인.	确认打印机（Printer）连接状态。
바코드(Barcode) 인식률 99% 이상.	条码（Barcode）识别率应达到99%以上。
QR 코드 스캔 정상 여부.	确认二维码扫描是否正常。
버튼(Button) 눌림 불량 유무.	确认按钮（Button）是否存在按压不良。
표시등(LED) 점등/점멸 정상 여부.	确认指示灯（LED）点亮/闪烁是否正常。
부품 누락(Missing) 검사 기능 확인.	确认部件缺失（Missing）检测功能。
이상 발생 시 즉시 정지 및 알람 발생 여부.	确认异常发生时是否立即停机并报警。
최종 승인(Sign-off) 체크리스트 완료.	确认最终批准（Sign-off）检查表是否完成。
